ID_1,attn_dict_common
25,"{'gambhir': [0.41805794799999996, 0.476606727, 0.31432473699999997], 'gautam': [0.039815426, 0.0, 0.103558309], 'join': [0.110352948, 0.35275504, 0.148897588], 'bjp': [0.095878936, 0.637072265, 0.48941519899999997], 'vision': [0.058583427, 0.0, 0.0], 'jaitley': [0.069788873, 0.09192714800000001, 0.165696084], 'arun': [0.8091677429999999, 0.24449127899999998, 0.268357456], 'former': [0.10877058699999999, 0.182537809, 0.9999998809999999]}"
26,"{'bjp': [0.322460443, 0.25815776, 0.33013922], 'candidate': [0.083428979, 0.085195504, 0.397695005], 'list': [0.070136465, 0.313005716, 0.350605428]}"
27,"{'aseemanand': [0.071674265, 0.07935828, 0.359839708], 'blast': [0.121905118, 0.774525881, 0.698228836], 'acquitted': [0.408262223, 0.319257647, 0.228624955], 'swami': [0.11618018199999999, 0.059845447999999996, 0.14321920300000002], 'samjhauta': [0.022200024, 0.10692589, 0.293118864], '2007': [0.146345794, 0.17615687800000002, 0.085918069], 'lokesh': [0.011672941000000001, 0.461930096, 0.19053539600000002], 'rajinder': [0.10267110900000001, 0.048398435, 0.019689098000000002], 'chauhan': [0.10288870300000001, 0.328810096, 0.17804297800000002], 'chaudhary': [0.014753684, 0.134061366, 0.242982373], '68': [0.093798853, 0.08581461800000001, 0.259313256]}"
28,"{'nirav': [0.42806017399999996, 0.105536975, 0.812004864], 'london': [0.10442846300000001, 0.169498265, 0.0], 'arrest': [0.356168151, 0.631979883, 0.0]}"
29,"{'godhra': [0.168263152, 0.619555771, 0.20534794], 'pataliya': [0.469503522, 0.132885486, 0.181716591], 'yakub': [0.272557855, 0.09437350900000001, 0.0], 'imprisonment': [0.044379089000000004, 0.256192684, 0.433493346], 'sabarmati': [0.08432120800000001, 0.08490292, 0.069452845], '2002': [0.018931576999999998, 0.23127867300000002, 0.074524671], 'life': [0.059912164000000004, 0.195845038, 0.479880244]}"
30,"{'blast': [0.508837819, 0.799471855, 0.8857106570000001], 'aseemanand': [0.153372809, 0.314204156, 0.07011871], 'nia': [0.156558096, 0.19903315600000002, 0.289637566], 'samjhauta': [0.127479881, 0.199133962, 0.256793141]}"
32,"{'nirav': [0.5008454920000001, 0.105536975, 0.812004864], 'london': [0.029453015, 0.169498265, 0.0], 'modi': [0.064240165, 0.5271618370000001, 0.063020669]}"
33,"{'goa': [0.145322174, 0.297568709, 0.5116716029999999], 'sawant': [0.01434042, 0.504318178, 0.139777705], 'pramod': [0.14189617300000001, 0.0, 0.244645432], 'floor': [0.21111582199999998, 0.583552659, 0.29320999999999997], 'test': [0.07442489299999999, 0.246965095, 0.15880367199999998]}"
35,"{'lokpal': [0.12485098800000001, 0.098049335, 0.20179829], 'appointed': [0.998336673, 0.637581348, 0.166355222], 'kumar': [0.121485211, 0.176533028, 0.034462456], 'ghose': [0.141113818, 0.21203559600000002, 0.998227894], 'justice': [0.047349095, 0.163248509, 0.999468267]}"
36,"{'lok': [0.636974454, 0.36582204700000004, 0.496181428], 'list': [0.289174408, 0.123721518, 0.586317062], 'candidate': [0.201017499, 0.183212027, 0.288150311]}"
38,"{'sawant': [0.048099499000000004, 0.070851117, 0.0], 'goa': [0.325999737, 0.45184093700000005, 0.08711797], 'pramod': [0.020380989, 0.08604715, 0.0], 'party': [0.014918545, 0.055432152, 0.030101411]}"
39,"{'warrant': [0.307717949, 0.0, 0.0], 'arrest': [0.257303298, 0.0, 0.298309773], 'extradition': [0.132609278, 0.34549641600000003, 0.129338011], 'court': [0.0478753, 0.011576408, 0.045377951], 'modi': [0.12602275599999999, 0.999136865, 0.027679721], 'london': [0.067781642, 0.10686671699999999, 0.11504656099999999], 'nirav': [0.387538761, 0.26672017600000003, 0.257320672], 'uncle': [0.03030109, 0.108732186, 0.10567832699999999], 'choksi': [0.132378206, 0.13826303199999998, 0.190835148]}"
40,"{'congress': [0.119501285, 0.317047924, 0.296375006]}"
41,"{'lok': [0.58570236, 0.36582204700000004, 0.613887906]}"
42,"{'pradesh': [0.63981843, 0.044084995999999994, 0.07530867299999999], 'assembly': [0.106683388, 0.153532594, 0.258019984]}"
43,"{'parrikar': [0.78579396, 0.22687071600000003, 0.10775291199999999], 'goa': [0.8298048379999999, 0.62078619, 0.034060784], 'minister': [0.9030209779999999, 0.27471229399999997, 0.23709389600000003]}"
44,"{'chowkidar': [0.701629281, 0.8175526259999999, 0.311690181], 'bhi': [0.17486268300000002, 0.047833104, 0.136015996], 'twitter': [0.353265345, 0.20808807, 0.112131596], 'campaign': [0.63436985, 0.138154924, 0.204751655], 'modi': [0.176040322, 0.116510436, 0.317965627], 'name': [0.049417112, 0.133650944, 0.019569]}"
45,"{'apna': [0.150868639, 0.201066315, 0.34659665799999995], 'dal': [0.055674732000000005, 0.412682295, 0.374918133], 'patel': [0.375321656, 0.524798632, 0.5688089129999999], 'krishna': [0.482038856, 0.233204484, 0.163906813], 'pankaj': [0.469726771, 0.609061062, 0.292288661], 'niranjan': [0.550616145, 0.666984141, 0.094315164], 'chandel': [0.229760438, 0.247173905, 0.147276446], 'anupriya': [0.022689767000000003, 0.038442019, 0.025187317], 'congress': [0.424026936, 0.58441478, 0.178088009]}"
46,"{'party': [0.039685626, 0.023122054, 0.10278330699999999], 'lok': [0.580534875, 0.53286463, 0.6718952659999999]}"
47,"{'kerala': [0.434506506, 0.19653148899999998, 0.263988167], 'party': [0.247479185, 0.053988427, 0.10278330699999999]}"
49,"{'chowkidar': [0.36865294, 0.8175526259999999, 0.154890224], 'bhi': [0.0, 0.047833104, 0.112273239], 'campaign': [0.0, 0.138154924, 0.621334672], 'pm': [0.355705619, 0.19194068, 0.34265178399999996]}"
50,"{'list': [0.36041280600000003, 0.35803899200000006, 0.305243731], 'bjp': [0.433233738, 0.18496052899999998, 0.638184547], 'committee': [0.087410904, 0.012590206000000001, 0.0], 'candidate': [0.070854165, 0.535167336, 0.119763404]}"
52,"{'contest': [0.45732861799999996, 0.086581752, 0.142656639]}"
56,"{'court': [0.108791046, 0.123356745, 0.006839067]}"
57,"{'assembly': [0.181065783, 0.299220622, 0.200545415]}"
58,"{'bail': [0.6249654889999999, 0.631743789, 0.478949726], 'yadav': [0.24893571399999997, 0.114769354, 0.322224081], 'fodder': [0.11142496800000001, 0.144647628, 0.0], 'rjd': [0.022168817, 0.016176594, 0.173047841], 'treasury': [0.050252505, 0.038140565, 0.080727488], 'scam': [0.45169535299999997, 0.568607509, 0.0], 'plea': [0.023870351, 0.134788245, 0.09177413599999999], 'lalu': [0.0, 0.039268203, 0.46153667600000003], 'multicrore': [0.267670631, 0.470141411, 0.0]}"
59,"{'collapse': [0.08347210299999999, 0.0, 0.1793558], 'bridge': [0.23177658, 0.379223108, 0.19910188], 'mumbai': [0.025365093999999998, 0.152133435, 0.085398436], 'collapsed': [0.0, 0.046730042, 0.059466124]}"
60,"{'injured': [0.168961823, 0.132879332, 0.303085059], 'mumbai': [0.330551654, 0.0, 0.529981554], 'bridge': [0.25419232199999997, 0.630779147, 0.6938622]}"
61,"{'vadakkan': [0.02775855, 0.046801116, 0.200730503], 'congress': [0.332184643, 0.151801765, 0.38852345899999996], 'party': [0.102377497, 0.037689585, 0.052969142999999996], 'tom': [0.159083232, 0.0, 0.551698744], 'bjp': [0.42487499100000004, 0.564433038, 0.47739589200000004]}"
63,"{'kartarpur': [0.17938104300000002, 0.5701047779999999, 0.677075386], 'corridor': [0.6437354679999999, 0.27222529100000004, 0.080313139], 'sahib': [0.340965003, 0.325578243, 0.39364662799999994], 'meeting': [0.16334368300000002, 0.999611557, 0.157121375], 'pilgrim': [0.160406739, 0.219226107, 0.146534353], 'gurudwara': [0.078960955, 0.19675557300000002, 0.20223329999999998], 'pakistan': [0.12520520400000001, 0.392057121, 0.17067413]}"
64,"{'document': [0.38622611799999995, 0.33462134, 0.321831405], 'rafale': [0.378120244, 0.21489934600000002, 0.542447925], 'petition': [0.265759051, 0.0, 0.305806905], 'court': [0.35056933799999995, 0.162295774, 0.17064683100000003]}"
65,"{'vote': [0.22741159800000002, 0.36398354200000005, 0.8606857059999999]}"
67,"{'minister': [0.9939481020000001, 0.530206859, 0.23552390899999998], 'prime': [0.582111061, 0.596783221, 0.082412951]}"
68,"{'party': [0.161516041, 0.047602773, 0.105716869], 'lok': [0.703279257, 0.337004662, 0.7530944940000001]}"
