ID,adj_word_cloud_dd,adj_word_cloud_ndtv,adj_word_cloud_tn
10,"{'nirmala': 2, 'sitharaman': 1, 'congress': 1, 'deterrent': 1, 'ex': 1, 'serviceman': 1, 'previous': 1, 'national': 1, 'memorial': 1}","{'nirmala': 2, 'deterrent': 1, 'military': 2, 'sitharaman': 1, 'congress': 4, 'right': 1, 'previous': 1, 'upa': 1, 'retaliatory': 1, 'willing': 1, 'similar': 1, 'mumbai': 2, 'enough': 1, 'ready': 1, 'call': 1, 'prime': 2, 'modi': 1, 'impact': 1, 'february': 2, 'pakistan': 1, 'unwilling': 1, 'new': 1, 'terrorist': 3, 'understand': 1, 'overseas': 1, 'recent': 2, 'deal': 1, 'mr': 1, 'wrong': 1, 'suicide': 1, 'bjp': 1, 'chief': 1, 'possible': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'sajjan': 1, 'new': 1, 'delhi': 2, 'hearing': 1, 'high': 6, 'february': 1, 'chief': 2, 'sentenced': 1, 'sikh': 1, 'parti': 1, 'broken': 1, 'prime': 4, 'gandhi': 1, 'natural': 1, 'congress': 1, 'large': 1, 'political': 2, 'capable': 1, 'witness': 1, 'fair': 1, 'possible': 1, 'bail': 1, 'notice': 1, 'criminal': 1, 'different': 1, 'prejudicial': 1, 'communal': 1, 'upheld': 1, 'naval': 1, 'bhagmal': 1, 'judgment': 1, 'national': 1, 'unbelievable': 1, 'enjoyed': 1}"
11,"{'kick': 1, 'threeday': 1, 'wide': 1, 'lok': 1, 'sabha': 1, 'swaraj': 1, 'vijay': 1, 'senior': 2, 'bjp': 2, 'external': 1, 'bjps': 2, 'previous': 4, 'similar': 1, 'national': 1, 'different': 1, 'launch': 1, 'saharanpur': 1, 'uttar': 2, 'pradesh': 3, 'chief': 1, 'public': 1}","{'representational': 1, 'bjp': 3, 'senior': 1, 'upset': 1, 'chief': 1, 'general': 1, 'seat': 1, 'm': 1, 'devi': 1, 'legislative': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'fight': 1, 'new': 1, 'delhi': 1, 'chief': 7, 'lok': 2, 'sabha': 3, 'pradesh': 2, 'choose': 1, 'singh': 1, 'last': 2, 'noted': 1, 'landslide': 1, 'congress': 2, 'luck': 1, 'lakh': 1, 'sanjar': 1}"
12,"{'electoral': 1, 'political': 1, 'upcoming': 1, 'lok': 1, 'naik': 1, 'pradesh': 1, 'singh': 1, 'rakesh': 1, 'suresh': 1, 'nishikant': 1, 'senior': 1, 'muniswamy': 1, 'kolar': 1, 'mandya': 1, 'uma': 2}","{'lok': 2, 'democratic': 3, 'udhampur': 7, 'secular': 3, 'chief': 1, 'sabha': 4, 'srinagar': 2, 'parliamentary': 3, 'jammu': 2, 'unilateral': 1, 'm': 2, 'lakh': 1, 'ladakh': 1, 'live': 1, 'update': 2, 'u': 2}","{'gandhi': 1, 'upcoming': 1, 'lok': 1, 'monday': 1, 'naik': 2, 'nimbalkar': 2, 'chief': 2, 'jolt': 1, 'last': 2, 'fadnavis': 2, 'maharashtra': 1, 'solo': 1, 'mp': 1, 'grand': 1, 'old': 1, 'friday': 1, 'bjp': 2, 'senior': 3, 'congress': 4, 'political': 1, 'signboard': 1, 'parliamentary': 1}"
13,"{'medium': 1, 'new': 1, 'senior': 1, 'suresh': 1, 'kangra': 1, 'rakesh': 1, 'nishikant': 1, 'muniswamy': 1, 'kolar': 1, 'mandya': 1, 'uma': 2}","{'lok': 4, 'sabha': 6, 'bihar': 1, 'grand': 1, 'rjd': 5, 'congress': 3, 'second': 3, 'nominee': 1, 'last': 1, 'narayan': 1, 'shailesh': 1, 'mp': 1, 'mr': 1, 'late': 2, 'present': 1, 'central': 1, 'new': 1, 'lalu': 2, 'upendra': 1, 'mukesh': 2, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1}","{'pradesh': 4, 'new': 1, 'late': 1, 'odisha': 1, 'third': 3, 'upcoming': 2, 'lok': 3, 'national': 2, 'patra': 2, 'sabha': 3, 'maharashtra': 3, 'girish': 3, 'meghalaya': 1, 'second': 1, 'poll': 1, 'lalubhai': 1, 'parliamentary': 1, 'central': 1, 'prime': 3, 'first': 1, 'gadkari': 1, 'irani': 1, 'varanasi': 1, 'bjp': 1, 'name': 1, 'democratic': 1, 'nominated': 1, 'huge': 1, 'win': 1}"
14,{'sky': 1},"{'martyr': 2, 'diwas': 2, 'prime': 1, 'tweet': 1, 'sukhdev': 2, 'tale': 1, 'tribute': 1, 'bhagat': 2, 'british': 1, 'responsible': 2, 'lathi': 1, 'lajpat': 1, 'simon': 1, 'shot': 1, 'bombed': 1, 'central': 2, 'legislative': 2, 'loud': 1, 'thrown': 1, 'martyrdom': 1, 'supreme': 2, 'respectful': 1, 'great': 5, 'chief': 5, 'naveen': 2, 'pradesh': 1, 'revolutionary': 4, 'rajguru': 2, 'chandrababu': 1, 'freedom': 1, 'shaheeddiwas': 1, 'u': 3, 'live': 1, 'update': 2, 'parliamentary': 1, 'lok': 1}","{'gandhi': 2, 'prime': 12, 'hindustan': 3, 'lavish': 1, 'private': 2, 'luxurious': 1, 'call': 1, 'labour': 1, 'public': 1, 'main': 1, 'rahul': 2, 'rich': 1, 'nirav': 3, 'poor': 4, 'marginalised': 1, 'mitrs': 1, 'narendra': 3, 'big': 1, 'monthly': 1, 'flop': 3, 'last': 3, 'see': 1, 'irony': 1, 'rest': 1, 'everyday': 1, 'minimum': 3, 'guaranteed': 1, 'huge': 1, 'fall': 1, 'lok': 1, 'sabha': 1}"
15,"{'next': 1, 'chief': 2, 'naval': 2, 'punjab': 2, 'singh': 2, 'various': 1, 'flag': 1, 'eastern': 1}","{'naval': 5, 'next': 1, 'chief': 2, 'tweet': 1, 'flag': 1, 'eastern': 1, 'national': 1, 'navy': 1, 'july': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'next': 3, 'chief': 6, 'naval': 11, 'new': 1, 'delhi': 1, 'tweet': 1, 'flag': 2, 'eastern': 2, 'national': 1, 'singh': 3, 'prestigious': 1, 'several': 1, 'key': 1, 'param': 1, 'present': 1, 'fleet': 1, 'western': 1, 'maharashtra': 1, 'gujrat': 1, 'focinc': 1, 'directorgeneral': 1}"
16,"{'nath': 1, 'oath': 3, 'lokpal': 17, 'first': 1, 'ghose': 3, 'supreme': 3, 'chief': 1, 'high': 1, 'national': 1, 'right': 1, 'prominent': 1, 'prime': 2, 'narendra': 1, 'central': 1, 'general': 1, 'tentative': 1, 'judicial': 1, 'backward': 1, 'saturday': 1, 'kovind': 1}","{'lokpal': 7, 'nath': 2, 'highlight': 1, 'oath': 3, 'prime': 6, 'first': 1, 'ombudsman': 1, 'general': 1, 'chief': 4, 'supreme': 3, 'national': 1, 'right': 1, 'ghose': 3, 'parliamentarian': 1, 'rashtrapati': 1, 'high': 5, 'pradesh': 1, 'close': 1, 'tuesday': 1, 'different': 1, 'mohanty': 1, 'judicial': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'ghose': 2, 'lokpal': 7, 'new': 1, 'delhi': 1, 'saturday': 1, 'nath': 2, 'prime': 1, 'chief': 2, 'present': 1, 'narendra': 1, 'exsashastra': 1, 'prasad': 1, 'nonjudicial': 1, 'judicial': 1, 'pm': 1, 'sumitra': 1, 'mahajan': 1, 'eminent': 1, 'congress': 1, 'high': 7, 'pradesh': 2, 'january': 1}"
17,"{'seventh': 1, 'uttar': 2, 'pradesh': 2, 'chief': 2, 'raj': 1, 'imran': 1, 'vikramaditya': 1, 'singh': 1, 'udhampur': 1}","{'nageswara': 2, 'senior': 1, 'chowdhary': 1, 'sabha': 1, 'seventh': 1, 'central': 1, 'candidate': 1, 'rashtra': 2, 'nagrswara': 1, 'samithi': 1, 'seat': 1, 'communist': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'pradesh': 4, 'new': 1, 'late': 1, 'odisha': 1, 'third': 3, 'upcoming': 2, 'lok': 3, 'national': 2, 'patra': 2, 'sabha': 3, 'maharashtra': 3, 'girish': 3, 'meghalaya': 1, 'second': 1, 'poll': 1, 'lalubhai': 1, 'parliamentary': 1, 'central': 1, 'prime': 3, 'first': 1, 'gadkari': 1, 'irani': 1, 'varanasi': 1, 'bjp': 1, 'name': 1, 'democratic': 1, 'nominated': 1, 'huge': 1, 'win': 1}"
18,"{'upcoming': 2, 'lok': 2, 'uttar': 1, 'pradesh': 4, 'pradeep': 1, 'bhagwanth': 1, 'rao': 1, 'friday': 1, 'first': 3, 'late': 1, 'list': 1}","{'late': 2, 'bjp': 2, 'third': 3, 'lok': 4, 'pradesh': 3, 'first': 3, 'national': 1, 'patra': 1, 'general': 1, 'parliamentary': 2, 'live': 1, 'update': 2, 'u': 2}","{'pradesh': 4, 'new': 1, 'late': 1, 'odisha': 1, 'third': 3, 'upcoming': 2, 'lok': 3, 'national': 2, 'patra': 2, 'sabha': 3, 'maharashtra': 3, 'girish': 3, 'meghalaya': 1, 'second': 1, 'poll': 1, 'lalubhai': 1, 'parliamentary': 1, 'central': 1, 'prime': 3, 'first': 1, 'gadkari': 1, 'irani': 1, 'varanasi': 1, 'bjp': 1, 'name': 1, 'democratic': 1, 'nominated': 1, 'huge': 1, 'win': 1}"
19,"{'lokpal': 2, 'saturday': 1, 'ghose': 2, 'last': 1, 'nath': 1, 'oath': 1, 'rashtrapati': 1, 'prime': 2, 'retired': 1, 'narendra': 1, 'modi': 1, 'national': 1, 'right': 1}","{'lokpal': 7, 'nath': 2, 'highlight': 1, 'oath': 3, 'prime': 6, 'first': 1, 'ombudsman': 1, 'general': 1, 'chief': 4, 'supreme': 3, 'national': 1, 'right': 1, 'ghose': 3, 'parliamentarian': 1, 'rashtrapati': 1, 'high': 5, 'pradesh': 1, 'close': 1, 'tuesday': 1, 'different': 1, 'mohanty': 1, 'judicial': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'ghose': 2, 'lokpal': 7, 'new': 1, 'delhi': 1, 'saturday': 1, 'nath': 2, 'prime': 1, 'chief': 2, 'present': 1, 'narendra': 1, 'exsashastra': 1, 'prasad': 1, 'nonjudicial': 1, 'judicial': 1, 'pm': 1, 'sumitra': 1, 'mahajan': 1, 'eminent': 1, 'congress': 1, 'high': 7, 'pradesh': 2, 'january': 1}"
