ID,dd_ndtv_cent,dd_tn_cent,dd_ndtv_emo,dd_tn_emo,dd_ndtv_emotion_score,dd_times_emotion_score,,,dd weighted attention,times weighted attention,ndtv weighted attention
16,0.123906406,0.134529514,0.758998783,0.811797587,"{'sadness': 1.4345832837301589, 'joy': 1.0841800734126985, 'fear': 0.15631764087301592, 'disgust': 0.8387475357142857, 'anger': 0.2811653809523809}","{'sadness': 0.9968854821428572, 'joy': 1.2530919503968254, 'fear': 0.2741877698412698, 'disgust': 0.8309822166666667, 'anger': 0.7038405138888888}",,,1.305775921,0.77354732,0.804137617
17,0.67235379,0.69047619,0.238227667,0.4515266,"{'sadness': 0.2904330000000001, 'joy': 0.25447366666666665, 'fear': 0.34250616666666667, 'disgust': 0.11899633333333338, 'anger': 0.18472916666666672}","{'sadness': 0.13408466666666669, 'joy': 0.8434618333333334, 'fear': 0.5510113333333333, 'disgust': 0.2489378333333333, 'anger': 0.4801373333333334}",,,0.61403857,0.464141691,1.229898752
18,0.17762605,0.181605976,0.711519533,0.624091958,"{'sadness': 0.9554221666666667, 'joy': 1.0580198333333333, 'fear': 0.5224511666666667, 'disgust': 0.3098608333333333, 'anger': 0.7118436666666665}","{'sadness': 1.4044810416666667, 'joy': 0.7326852083333333, 'fear': 0.2977559583333333, 'disgust': 0.395306375, 'anger': 0.2902312083333333}",,,0.327634062,0.464141691,0.447559842
19,0.173095898,0.10469697,0.452598077,0.558893665,"{'sadness': 1.0775048928571431, 'joy': 0.3714744285714286, 'fear': 0.09483833333333336, 'disgust': 0.3965261071428572, 'anger': 0.3226466250000002}","{'sadness': 0.3910836000000001, 'joy': 1.1061093047619046, 'fear': 0.2984937261904762, 'disgust': 0.3318502166666667, 'anger': 0.6669314761904761}",,,0.940980881,0.77354732,0.804137617
20,0.374142871,0.222791994,0.073124483,0.526385822,"{'sadness': 0.03485483333333339, 'joy': 0.042145666666666665, 'fear': 0.08853733333333329, 'disgust': 0.017263083333333318, 'anger': 0.1828215}","{'sadness': 0.6987320833333338, 'joy': 0.6732834999999999, 'fear': 0.2521005277777777, 'disgust': 0.7065450555555556, 'anger': 0.30126794444444444}",,,1.16760988,0.464141691,0.410284809
21,0,0.171034483,0.3184567,1.063316733,"{'sadness': 0.3175198333333334, 'joy': 0.1501336666666667, 'fear': 0.5528774999999999, 'disgust': 0.22410550000000007, 'anger': 0.3476470000000001}","{'sadness': 2.524757083333333, 'joy': 0.16022883333333335, 'fear': 1.7551408333333336, 'disgust': 0.3161411666666667, 'anger': 0.5603157499999999}",,,0.853157032,0.712632872,0.838934687
22,0.221204972,0.31343501,0.9536719,0.654620591,"{'sadness': 1.4397417777777775, 'joy': 1.1456777777777776, 'fear': 0.92342775, 'disgust': 0.6490891111111111, 'anger': 0.6104230833333333}","{'sadness': 0.5354642261904763, 'joy': 0.6381930317460317, 'fear': 0.4279906746031746, 'disgust': 0.7819031309523811, 'anger': 0.889551892857143}",,,0.984611465,0.911018976,0.562411815
23,0.189393939,0.117984812,0.291438567,0.443507243,"{'sadness': 0.14615183333333343, 'joy': 0.10491750000000001, 'fear': 0.4622536666666667, 'disgust': 0.1950491666666667, 'anger': 0.5488206666666666}","{'sadness': 0.41468668333333353, 'joy': 0.2558159166666667, 'fear': 0.15358365000000002, 'disgust': 0.46924696666666665, 'anger': 0.9242029999999999}",,,0.644932567,0.511206509,0.454373212
24,0.153384388,0.096779862,0.745511683,0.683811758,"{'sadness': 0.6192859722222221, 'joy': 1.0901653055555556, 'fear': 0.47591525, 'disgust': 1.0088768055555555, 'anger': 0.5333150833333333}","{'sadness': 0.39535014583333317, 'joy': 0.989445375, 'fear': 0.4196490208333334, 'disgust': 1.1155948125, 'anger': 0.49901943749999994}",,,0.882275423,0.737414873,0.522179725
25,0.236118627,0.203550061,0.941375567,0.525810283,"{'sadness': 1.459832166666667, 'joy': 2.0072672083333334, 'fear': 0.4577824583333333, 'disgust': 0.2546632916666667, 'anger': 0.5273327083333333}","{'sadness': 1.13903125, 'joy': 0.6705428333333334, 'fear': 0.3552335, 'disgust': 0.3625466666666667, 'anger': 0.10169716666666669}",,,0.558200694,0.592694782,0.584616584
26,0.416666667,0.416666667,0.246192633,0.3962307,"{'sadness': 0.3003215, 'joy': 0.21418666666666666, 'fear': 0.20515499999999998, 'disgust': 0.38475249999999994, 'anger': 0.12654750000000003}","{'sadness': 0.584628375, 'joy': 0.5247980000000001, 'fear': 0.152681375, 'disgust': 0.4931551249999999, 'anger': 0.22589062499999998}",,,0.727185814,0.272824134,0.579443356
27,0.117413999,0.060942761,0.54360295,0.670588125,"{'sadness': 0.4998694166666667, 'joy': 0.20119900000000002, 'fear': 1.3178163333333333, 'disgust': 0.33623499999999995, 'anger': 0.362895}","{'sadness': 0.8709318749999999, 'joy': 0.18312237499999998, 'fear': 0.6311285, 'disgust': 0.35955012499999994, 'anger': 1.3082077499999998}",,,0.433603581,0.626231473,0.618757952
28,0.136385099,0.143293262,0.8729295,0.1742755,"{'sadness': 1.2732876388888887, 'joy': 0.4009286666666666, 'fear': 0.2948469444444444, 'disgust': 1.164546111111111, 'anger': 1.231038138888889}","{'sadness': 0.0785515, 'joy': 0.2853204166666667, 'fear': 0.04144816666666665, 'disgust': 0.31586116666666664, 'anger': 0.1501962500000001}",,,0.790237412,0.427150176,1.057108788
29,0.203174603,0.170079365,0.7847883,0.607003517,"{'sadness': 0.8204655000000001, 'joy': 0.8385564999999999, 'fear': 0.14807066666666668, 'disgust': 0.7213648333333333, 'anger': 1.3954839999999997}","{'sadness': 0.6990029166666667, 'joy': 0.47922200000000004, 'fear': 0.40990195833333337, 'disgust': 0.47786991666666667, 'anger': 0.9690207916666665}",,,0.810725519,0.643337328,0.859325525
30,0.929824561,0.059103178,0.61625975,0.448046943,"{'sadness': 1.2032552499999998, 'joy': 0.42387199999999997, 'fear': 0.1517555, 'disgust': 0.48909099999999994, 'anger': 0.8133250000000001}","{'sadness': 0.5669900666666666, 'joy': 0.3612666666666666, 'fear': 0.33758478333333336, 'disgust': 0.38024325000000003, 'anger': 0.5941499499999998}",,,0.557929231,0.789117731,0.463933181
31,0,0,0,0.204001907,0,"{'sadness': 0.8247901333333334, 'joy': 0.07167479999999998, 'fear': 0.05899926666666669, 'disgust': 0.04470413333333331, 'anger': 0.019841199999999976}",,,0.928278919,0.460316609,0.974544218
32,0.270954831,0.208091473,0.547255167,0.609382325,"{'sadness': 0.8746129999999999, 'joy': 0.4811425833333334, 'fear': 0.2897164166666667, 'disgust': 0.7083030833333332, 'anger': 0.3825007499999999}","{'sadness': 0.5007247083333333, 'joy': 0.6037185416666666, 'fear': 0.1782149583333333, 'disgust': 0.5229797916666667, 'anger': 1.2412736249999998}",,,0.705220216,0.427150176,1.057108788
33,0.105936513,0.069431836,1.033148667,1.557039907,"{'sadness': 1.5636299999999999, 'joy': 0.9724674166666667, 'fear': 0.8652129999999999, 'disgust': 0.6791562500000001, 'anger': 1.0852766666666667}","{'sadness': 3.1075975277777776, 'joy': 2.8641002777777778, 'fear': 0.5667285079365079, 'disgust': 0.9391265, 'anger': 0.3076467222222222}",,,0.470514143,0.866889222,0.65283293
34,0,0.077651314,0,0.199652338,0,"{'sadness': 0.24734759523809524, 'joy': 0.2848648571428572, 'fear': 0.039797833333333324, 'disgust': 0.23759840476190472, 'anger': 0.18865300000000004}",,,0.898867364,0.460316609,0.181768752
35,0.104256095,0.082635618,0.783425077,0.728801398,"{'sadness': 1.1256957500000002, 'joy': 0.39756555000000005, 'fear': 0.32829220000000003, 'disgust': 1.43963555, 'anger': 0.6259363333333332}","{'sadness': 0.7456036666666666, 'joy': 0.8679529208333335, 'fear': 0.47158359999999994, 'disgust': 1.1813152749999998, 'anger': 0.37755152916666673}",,,0.46448653,0.547462982,1.185251742
36,0.075132275,0.158836925,0.566832507,0.656646291,"{'sadness': 0.9324135500000001, 'joy': 0.6069952666666667, 'fear': 0.38352385000000005, 'disgust': 0.6175422666666666, 'anger': 0.2936876}","{'sadness': 0.4290029283730158, 'joy': 0.6123683984126983, 'fear': 0.7299200454365079, 'disgust': 0.6720424182539684, 'anger': 0.8398976642857143}",,,0.741767399,0.564076788,0.674031819
37,0.05,0.134004709,0.486963025,0.445283802,"{'sadness': 0.5034441249999999, 'joy': 0.30657124999999996, 'fear': 0.41389224999999996, 'disgust': 0.3487871250000001, 'anger': 0.8621203749999999}","{'sadness': 0.7486672401785714, 'joy': 0.2768664151785714, 'fear': 0.43787279047619054, 'disgust': 0.3607035589285715, 'anger': 0.4023090050595238}",,,0.301226054,0.564076788,0.570300712
38,0.164991435,0.226334333,0.55458579,0.469860572,"{'sadness': 0.9500946000000003, 'joy': 0.6775747, 'fear': 0.5048201833333332, 'disgust': 0.2988433333333334, 'anger': 0.3415961333333333}","{'sadness': 0.7603728125000001, 'joy': 0.6074853791666668, 'fear': 0.3248187916666666, 'disgust': 0.23644345416666673, 'anger': 0.42018242083333335}",,,0.326798327,0.627520722,0.551496214
39,0.201569264,0.232256077,0.527992783,0.96450455,"{'sadness': 0.3866264166666666, 'joy': 0.2683976666666667, 'fear': 0.42147358333333335, 'disgust': 0.9738156666666666, 'anger': 0.5896505833333332}","{'sadness': 0.7294765833333334, 'joy': 0.33543949999999995, 'fear': 0.5029998333333333, 'disgust': 1.596769833333333, 'anger': 1.657837}",,,0.599442576,0.526235925,0.294226118
40,0.259293984,0.207821411,0.352436919,0.432869836,"{'sadness': 0.23287493452380958, 'joy': 0.3921710357142857, 'fear': 0.16591095833333333, 'disgust': 0.5144302083333332, 'anger': 0.4567974583333334}","{'sadness': 0.26808389285714285, 'joy': 0.38248303571428566, 'fear': 0.17752325000000002, 'disgust': 1.111932, 'anger': 0.22432699999999994}",,,0.470406342,1.004693281,1.230756741
41,0.047665466,0.134443072,0.822413497,0.442112342,"{'sadness': 1.2587243928571428, 'joy': 0.5660937, 'fear': 0.6932393023809523, 'disgust': 0.42900622619047624, 'anger': 1.1650038642857146}","{'sadness': 0.6774598613945579, 'joy': 0.4111761804421768, 'fear': 0.41520792244897964, 'disgust': 0.3092178304421769, 'anger': 0.3974999176870747}",,,0.917901454,0.564076788,0.570300712
42,0.295238095,0.1516242,0.53799635,0.620381782,"{'sadness': 0.68697175, 'joy': 0.8374650833333335, 'fear': 0.36624674999999995, 'disgust': 0.25345283333333335, 'anger': 0.5458453333333334}","{'sadness': 1.0446378833333334, 'joy': 0.7064099916666666, 'fear': 0.472590925, 'disgust': 0.5101738916666667, 'anger': 0.3680962166666667}",,,0.876452272,0.653789552,0.702031056
43,0.083997253,0.134815022,0.279598845,0.469486629,"{'sadness': 0.3483427388888886, 'joy': 0.447668231111111, 'fear': 0.25558560666666663, 'disgust': 0.2102471877777778, 'anger': 0.13615046222222224}","{'sadness': 1.0780845388888887, 'joy': 0.558399712962963, 'fear': 0.43354803888888893, 'disgust': 0.08165017592592592, 'anger': 0.1957506777777778}",,,1.659428074,0.544140179,0.39897616
44,0.223920338,0.233332137,0.431843853,0.381363169,"{'sadness': 0.4212418291666665, 'joy': 0.5897128041666666, 'fear': 0.3144406458333333, 'disgust': 0.5171916666666667, 'anger': 0.31663232083333326}","{'sadness': 0.4550870666666666, 'joy': 0.40865859444444447, 'fear': 0.3895484944444444, 'disgust': 0.45919868888888893, 'anger': 0.19432299999999997}",,,0.819649302,0.701955282,0.595522776
45,0.265266192,0.320684524,0.34192405,0.4018407,"{'sadness': 0.29047387500000005, 'joy': 0.5816649583333332, 'fear': 0.157452125, 'disgust': 0.21507254166666667, 'anger': 0.46495675000000003}","{'sadness': 0.5280595833333335, 'joy': 0.9159280833333332, 'fear': 0.12437916666666672, 'disgust': 0.23104, 'anger': 0.20979666666666666}",,,0.709978043,0.903998878,0.731168862
46,0,0.078630104,0.161850133,0.400782448,"{'sadness': 0.11896400000000001, 'joy': 0.40079033333333336, 'fear': 0.019692000000000008, 'disgust': 0.24701099999999998, 'anger': 0.022793333333333318}","{'sadness': 0.6491266777777778, 'joy': 0.7893520911111112, 'fear': 0.23939510444444448, 'disgust': 0.14838200222222223, 'anger': 0.1776563622222222}",,,0.606355861,0.69523303,0.776517521
47,0,0.366071429,0.5566342,0.37873925,"{'sadness': 1.158601, 'joy': 0.6021255000000001, 'fear': 0.215131, 'disgust': 0.6834500000000001, 'anger': 0.1238635}","{'sadness': 0.3579805833333334, 'joy': 0.8177259166666666, 'fear': 0.23799891666666664, 'disgust': 0.3916109166666667, 'anger': 0.08837991666666667}",,,1.0210029,0.846034104,0.776517521
48,0.167466622,0.248756156,0.587238701,0.29605417,"{'sadness': 1.2461655972222223, 'joy': 0.30275821944444437, 'fear': 0.3193923777777778, 'disgust': 0.38086305555555555, 'anger': 0.6870142527777776}","{'sadness': 0.3086247499999998, 'joy': 0.38067623333333345, 'fear': 0.11926448333333335, 'disgust': 0.31409503333333333, 'anger': 0.35761035}",,,1.030863135,1.839735025,0.508503751
49,0.072448901,0.183022592,0.549587527,0.555068222,"{'sadness': 0.17244758333333327, 'joy': 0.43703628333333344, 'fear': 0.5006656333333334, 'disgust': 0.6238119166666667, 'anger': 1.0139762166666666}","{'sadness': 1.337728097222222, 'joy': 0.643421138888889, 'fear': 0.24182063888888894, 'disgust': 0.40317515277777777, 'anger': 0.14919608333333334}",,,0.456686446,0.701955282,0.581601029
50,0.250833333,0.251906941,0.50986454,0.19524368,"{'sadness': 1.1038026, 'joy': 0.7733885, 'fear': 0.3403206, 'disgust': 0.137748, 'anger': 0.19406299999999999}","{'sadness': 0.1510864722222223, 'joy': 0.6552684999999999, 'fear': 0.05933174444444446, 'disgust': 0.04167156666666667, 'anger': 0.0688601166666667}",,,0.537250721,0.69523303,0.643748213
51,0,0,0,0,0,0,,,1.871499322,0.275545579,0.567416383
52,0.09526216,0,0.712911533,0.7471624,"{'sadness': 0.8019700000000001, 'joy': 1.5978298333333334, 'fear': 0.4533541666666667, 'disgust': 0.18131133333333332, 'anger': 0.5300923333333333}","{'sadness': 0.5641369166666667, 'joy': 1.3786214166666666, 'fear': 0.28775591666666667, 'disgust': 0.48020358333333335, 'anger': 1.0250941666666664}",,,0.836373898,0.903998878,0.92696302
53,0,0,0.164707467,0.1640903,"{'sadness': 0.2340181666666667, 'joy': 0.32290283333333336, 'fear': 0.08431633333333333, 'disgust': 0.1676831666666666, 'anger': 0.014616833333333343}","{'sadness': 0.2112478333333333, 'joy': 0.06879783333333331, 'fear': 0.18743275, 'disgust': 0.27394583333333333, 'anger': 0.07902725}",,,0.805362271,0.762813912,0.328600511
54,0,0,0,1.324339117,0,"{'sadness': 3.4416095, 'joy': 0.7608841666666667, 'fear': 1.41967325, 'disgust': 0.2950166666666667, 'anger': 0.704512}",,,0.467384349,0.762813912,1.381468821
56,0.078046654,0.045436508,0.458554125,0.162141633,"{'sadness': 0.41480533333333347, 'joy': 0.2863702916666667, 'fear': 0.2655437916666667, 'disgust': 1.0566744999999997, 'anger': 0.26937670833333344}","{'sadness': 0.10381066666666666, 'joy': 0.14561666666666664, 'fear': 0.09786466666666668, 'disgust': 0.4611978333333333, 'anger': 0.002218333333333322}",,,0.09507348,0,0
57,0.197994987,0.121468927,0.371929,0.383856867,"{'sadness': 0.44369999999999993, 'joy': 0.6127998333333333, 'fear': 0.19914833333333332, 'disgust': 0.3063015, 'anger': 0.29769533333333337}","{'sadness': 0.6261458333333333, 'joy': 0.539383, 'fear': 0.12920016666666664, 'disgust': 0.22770316666666668, 'anger': 0.39685216666666673}",,,0,0,0.111759248
